Date,S&P500,Bond Rate
12/31/2024,"5,881.63",4.208
12/30/2024,"5,906.94",4.182
12/27/2024,"5,970.84",4.178
12/26/2024,"6,037.59",4.215
12/24/2024,"6,040.04",4.2
12/23/2024,"5,974.07",4.215
12/20/2024,"5,930.85",4.215
12/19/2024,"5,867.08",4.22
12/18/2024,"5,872.16",4.232
12/17/2024,"6,050.61",4.24
12/16/2024,"6,074.08",4.228
12/13/2024,"6,051.09",4.218
12/12/2024,"6,051.25",4.223
12/11/2024,"6,084.19",4.255
12/10/2024,"6,034.91",4.285
12/9/2024,"6,052.85",4.293
12/6/2024,"6,090.27",4.295
12/5/2024,"6,075.11",4.33
12/4/2024,"6,086.49",4.345
12/3/2024,"6,049.88",4.357
12/2/2024,"6,047.15",4.38
11/29/2024,"6,032.38",4.373
11/27/2024,"5,998.74",4.385
11/26/2024,"6,021.63",4.395
11/25/2024,"5,987.37",4.405
11/22/2024,"5,969.34",4.415
11/21/2024,"5,948.71",4.413
11/20/2024,"5,917.11",4.41
11/19/2024,"5,916.98",4.408
11/18/2024,"5,893.62",4.403
11/15/2024,"5,870.62",4.393
11/14/2024,"5,949.17",4.383
11/13/2024,"5,985.38",4.39
11/12/2024,"5,983.99",4.423
11/11/2024,"6,001.35",4.415
11/8/2024,"5,995.54",4.423
11/7/2024,"5,973.10",4.42
11/6/2024,"5,929.04",4.43
11/5/2024,"5,782.76",4.423
11/4/2024,"5,712.69",4.418
11/1/2024,"5,728.80",4.4
10/31/2024,"5,705.45",4.432
10/30/2024,"5,813.67",4.463
10/29/2024,"5,832.92",4.48
10/28/2024,"5,823.52",4.482
10/25/2024,"5,808.12",4.51
10/24/2024,"5,809.86",4.487
10/23/2024,"5,797.42",4.505
10/22/2024,"5,851.20",4.5
10/21/2024,"5,853.98",4.518
10/18/2024,"5,864.67",4.513
10/17/2024,"5,841.47",4.515
10/16/2024,"5,842.47",4.503
10/15/2024,"5,815.26",4.515
10/14/2024,"5,859.85",4.518
10/11/2024,"5,815.03",4.515
10/10/2024,"5,780.05",4.53
10/9/2024,"5,792.04",4.535
10/8/2024,"5,751.13",4.528
10/7/2024,"5,695.94",4.525
10/4/2024,"5,751.07",4.505
10/3/2024,"5,699.94",4.465
10/2/2024,"5,709.54",4.473
10/1/2024,"5,708.75",4.482
9/30/2024,"5,762.48",4.498
9/27/2024,"5,738.17",4.482
9/26/2024,"5,745.37",4.468
9/25/2024,"5,722.26",4.487
9/24/2024,"5,732.93",4.495
9/23/2024,"5,718.57",4.503
9/20/2024,"5,702.55",4.545
9/19/2024,"5,713.64",4.593
9/18/2024,"5,618.26",4.615
9/17/2024,"5,634.58",4.735
9/16/2024,"5,633.09",4.745
9/13/2024,"5,626.02",4.763
9/12/2024,"5,595.76",4.84
9/11/2024,"5,554.13",4.875
9/10/2024,"5,495.52",4.835
9/9/2024,"5,471.05",4.895
9/6/2024,"5,408.42",4.908
9/5/2024,"5,503.41",4.932
9/4/2024,"5,520.07",4.948
9/3/2024,"5,528.93",4.97
8/30/2024,"5,648.40",4.968
8/29/2024,"5,591.96",4.965
8/28/2024,"5,592.18",4.955
8/27/2024,"5,625.80",4.968
8/26/2024,"5,616.84",4.998
8/23/2024,"5,634.61",5
8/22/2024,"5,570.64",5.025
8/21/2024,"5,620.85",5.005
8/20/2024,"5,597.12",5.033
8/19/2024,"5,608.25",5.063
8/16/2024,"5,554.25",5.075
8/15/2024,"5,543.22",5.08
8/14/2024,"5,455.21",5.063
8/13/2024,"5,434.43",5.053
8/12/2024,"5,344.39",5.073
8/9/2024,"5,344.16",5.075
8/8/2024,"5,319.31",5.083
8/7/2024,"5,199.50",5.08
8/6/2024,"5,240.03",5.08
8/5/2024,"5,186.33",5.06
8/2/2024,"5,346.56",5.03
8/1/2024,"5,446.68",5.115
7/31/2024,"5,522.30",5.135
7/30/2024,"5,436.44",5.135
7/29/2024,"5,463.54",5.147
7/26/2024,"5,459.10",5.155
7/25/2024,"5,399.22",5.16
7/24/2024,"5,427.13",5.17
7/23/2024,"5,555.74",5.173
7/22/2024,"5,564.41",5.19
7/19/2024,"5,505.00",5.193
7/18/2024,"5,544.59",5.193
7/17/2024,"5,588.27",5.195
7/16/2024,"5,667.20",5.193
7/15/2024,"5,631.22",5.193
7/12/2024,"5,615.35",5.198
7/11/2024,"5,584.54",5.198
7/10/2024,"5,633.91",5.225
7/9/2024,"5,576.98",5.225
7/8/2024,"5,572.85",5.218
7/5/2024,"5,567.19",5.225
7/3/2024,"5,537.02",5.23
7/2/2024,"5,509.01",5.228
7/1/2024,"5,475.09",5.218
6/28/2024,"5,460.48",5.213
6/27/2024,"5,482.87",5.223
6/26/2024,"5,477.90",5.23
6/25/2024,"5,469.30",5.223
6/24/2024,"5,447.87",5.21
6/21/2024,"5,464.62",5.215
6/20/2024,"5,473.17",5.225
6/18/2024,"5,487.03",5.235
6/17/2024,"5,473.23",5.243
6/14/2024,"5,431.60",5.24
6/13/2024,"5,433.74",5.24
6/12/2024,"5,421.03",5.243
6/11/2024,"5,375.32",5.245
6/10/2024,"5,360.79",5.233
6/7/2024,"5,346.99",5.238
6/6/2024,"5,352.96",5.233
6/5/2024,"5,354.03",5.24
6/4/2024,"5,291.34",5.24
6/3/2024,"5,283.40",5.243
5/31/2024,"5,277.51",5.245
5/30/2024,"5,235.48",5.248
5/29/2024,"5,266.95",5.25
5/28/2024,"5,306.04",5.248
5/24/2024,"5,304.72",5.245
5/23/2024,"5,267.84",5.245
5/22/2024,"5,307.01",5.245
5/21/2024,"5,321.41",5.24
5/20/2024,"5,308.13",5.24
5/17/2024,"5,303.27",5.24
5/16/2024,"5,297.10",5.243
5/15/2024,"5,308.15",5.24
5/14/2024,"5,246.68",5.235
5/13/2024,"5,221.42",5.24
5/10/2024,"5,222.68",5.243
5/9/2024,"5,214.08",5.24
5/8/2024,"5,187.67",5.245
5/7/2024,"5,187.70",5.243
5/6/2024,"5,180.74",5.24
5/3/2024,"5,127.79",5.235
5/2/2024,"5,064.20",5.238
5/1/2024,"5,018.39",5.25
4/30/2024,"5,035.69",5.245
4/29/2024,"5,116.17",5.243
4/26/2024,"5,099.96",5.238
4/25/2024,"5,048.42",5.245
4/24/2024,"5,071.63",5.255
4/23/2024,"5,070.55",5.245
4/22/2024,"5,010.60",5.245
4/19/2024,"4,967.23",5.245
4/18/2024,"5,011.12",5.243
4/17/2024,"5,022.21",5.24
4/16/2024,"5,051.41",5.233
4/15/2024,"5,061.82",5.238
4/12/2024,"5,123.41",5.23
4/11/2024,"5,199.06",5.238
4/10/2024,"5,160.64",5.243
4/9/2024,"5,209.91",5.22
4/8/2024,"5,202.39",5.223
4/5/2024,"5,204.34",5.215
4/4/2024,"5,147.21",5.203
4/3/2024,"5,211.49",5.21
4/2/2024,"5,205.81",5.213
4/1/2024,"5,243.77",5.218
3/28/2024,"5,254.35",5.203
3/27/2024,"5,248.49",5.215
3/26/2024,"5,203.58",5.218
3/25/2024,"5,218.19",5.218
3/22/2024,"5,234.18",5.22
3/21/2024,"5,241.53",5.228
3/20/2024,"5,224.62",5.228
3/19/2024,"5,178.51",5.238
3/18/2024,"5,149.42",5.238
3/15/2024,"5,117.09",5.238
3/14/2024,"5,150.48",5.238
3/13/2024,"5,165.31",5.238
3/12/2024,"5,175.27",5.24
3/11/2024,"5,117.94",5.24
3/8/2024,"5,123.69",5.228
3/7/2024,"5,157.36",5.228
3/6/2024,"5,104.76",5.23
3/5/2024,"5,078.65",5.225
3/4/2024,"5,130.95",5.223
3/1/2024,"5,137.08",5.215
2/29/2024,"5,096.27",5.223
2/28/2024,"5,069.76",5.24
2/27/2024,"5,078.18",5.245
2/26/2024,"5,069.53",5.25
2/23/2024,"5,088.80",5.24
2/22/2024,"5,087.03",5.233
2/21/2024,"4,981.80",5.235
2/20/2024,"4,975.51",5.213
2/16/2024,"5,005.57",5.223
2/15/2024,"5,029.73",5.218
2/14/2024,"5,000.62",5.218
2/13/2024,"4,953.17",5.233
2/12/2024,"5,021.84",5.228
2/9/2024,"5,026.61",5.22
2/8/2024,"4,997.91",5.218
2/7/2024,"4,995.06",5.223
2/6/2024,"4,954.23",5.223
2/5/2024,"4,942.81",5.228
2/2/2024,"4,958.61",5.21
2/1/2024,"4,906.19",5.2
1/31/2024,"4,845.65",5.188
1/30/2024,"4,924.97",5.203
1/29/2024,"4,927.93",5.2
1/26/2024,"4,890.97",5.2
1/25/2024,"4,894.16",5.195
1/24/2024,"4,868.55",5.21
1/23/2024,"4,864.60",5.21
1/22/2024,"4,850.43",5.2
1/19/2024,"4,839.81",5.198
1/18/2024,"4,780.94",5.2
1/17/2024,"4,739.21",5.215
1/16/2024,"4,765.98",5.203
1/12/2024,"4,783.83",5.198
1/11/2024,"4,780.24",5.218
1/10/2024,"4,783.45",5.225
1/9/2024,"4,756.50",5.23
1/8/2024,"4,763.54",5.22
1/5/2024,"4,697.24",5.22
1/4/2024,"4,688.68",5.228
1/3/2024,"4,704.81",5.235
1/2/2024,"4,742.83",5.213
12/29/2023,"4,769.83",5.18
12/28/2023,"4,783.35",5.218
12/27/2023,"4,781.58",5.235
12/26/2023,"4,774.75",5.203
12/22/2023,"4,754.63",5.208
12/21/2023,"4,746.75",5.21
12/20/2023,"4,698.35",5.23
12/19/2023,"4,768.37",5.238
12/18/2023,"4,740.56",5.225
12/15/2023,"4,719.19",5.225
12/14/2023,"4,719.55",5.215
12/13/2023,"4,707.09",5.223
12/12/2023,"4,643.70",5.248
12/11/2023,"4,622.44",5.233
12/8/2023,"4,604.37",5.233
12/7/2023,"4,585.59",5.233
12/6/2023,"4,549.34",5.243
12/5/2023,"4,567.18",5.243
12/4/2023,"4,569.78",5.223
12/1/2023,"4,594.63",5.215
11/30/2023,"4,567.80",5.238
11/29/2023,"4,550.58",5.24
11/28/2023,"4,554.89",5.26
11/27/2023,"4,550.43",5.258
11/24/2023,"4,559.34",5.253
11/22/2023,"4,556.62",5.265
11/21/2023,"4,538.19",5.255
11/20/2023,"4,547.38",5.238
11/17/2023,"4,514.02",5.233
11/16/2023,"4,508.24",5.243
11/15/2023,"4,502.88",5.255
11/14/2023,"4,495.70",5.253
11/13/2023,"4,411.55",5.26
11/10/2023,"4,415.24",5.25
11/9/2023,"4,347.35",5.263
11/8/2023,"4,382.78",5.268
11/7/2023,"4,378.38",5.273
11/6/2023,"4,365.98",5.26
11/3/2023,"4,358.34",5.253
11/2/2023,"4,317.78",5.27
11/1/2023,"4,237.86",5.3
10/31/2023,"4,193.80",5.32
10/30/2023,"4,166.82",5.313
10/27/2023,"4,117.37",5.305
10/26/2023,"4,137.23",5.3
10/25/2023,"4,186.77",5.315
10/24/2023,"4,247.68",5.308
10/23/2023,"4,217.04",5.293
10/20/2023,"4,224.16",5.3
10/19/2023,"4,278.00",5.31
10/18/2023,"4,314.60",5.33
10/17/2023,"4,373.20",5.34
10/16/2023,"4,373.63",5.328
10/13/2023,"4,327.78",5.328
10/12/2023,"4,349.61",5.335
10/11/2023,"4,376.95",5.335
10/10/2023,"4,358.24",5.323
10/9/2023,"4,335.66",5.348
