Date,PrDec,PrInc
12/31/2024,0.08,0.10128
12/24/2024,0.08,0.09324
12/18/2024,0.09,0.14135
12/11/2024,0.08,0.10151
12/4/2024,0.07,0.09571
11/27/2024,0.08,0.09907
11/20/2024,0.08,0.10528
11/13/2024,0.08,0.10427
11/6/2024,0.08,0.09286
10/30/2024,0.08,0.11008
10/23/2024,0.08,0.09896
10/16/2024,0.08,0.10571
10/9/2024,0.08,0.1024
10/2/2024,0.09,0.10573
9/25/2024,0.08,0.09151
9/18/2024,0.09,0.10942
9/11/2024,0.09,0.09746
9/4/2024,0.09,0.11128
8/28/2024,0.08,0.09721
8/21/2024,0.08,0.09758
8/14/2024,0.09,0.10782
8/7/2024,0.10,0.15385
7/31/2024,0.07,0.10882
7/24/2024,0.08,0.1243
7/17/2024,0.07,0.11029
7/10/2024,0.07,0.09349
7/3/2024,0.06,0.09082
6/26/2024,0.07,0.10407
6/18/2024,0.07,0.10104
6/12/2024,0.06,0.09994
6/5/2024,0.07,0.0987
5/29/2024,0.07,0.10391
5/22/2024,0.07,0.10517
5/15/2024,0.07,0.10101
5/8/2024,0.07,0.10483
5/1/2024,0.08,0.1233
4/24/2024,0.08,0.11859
4/17/2024,0.08,0.14179
4/10/2024,0.08,0.12799
4/3/2024,0.07,0.1165
3/27/2024,0.07,0.10889
3/20/2024,0.07,0.11267
3/13/2024,0.07,0.11568
3/6/2024,0.07,0.10885
2/28/2024,0.07,0.10658
2/21/2024,0.08,0.10775
2/14/2024,0.07,0.09914
2/7/2024,0.07,0.08976
1/31/2024,0.07,0.10453
1/24/2024,0.07,0.09391
1/17/2024,0.08,0.09877
1/10/2024,0.08,0.09637
1/3/2024,0.08,0.1136
12/27/2023,0.08,0.10512
12/20/2023,0.08,0.11931
12/13/2023,0.08,0.09778
12/6/2023,0.08,0.1146
11/29/2023,0.08,0.11415
11/22/2023,0.08,0.10894
11/15/2023,0.08,0.11591
11/8/2023,0.08,0.11069
11/1/2023,0.09,0.13619
10/25/2023,0.10,0.16193
10/18/2023,0.09,0.15576
10/11/2023,0.09,0.13545
10/4/2023,0.10,0.14919
9/27/2023,0.10,0.15281
9/20/2023,0.08,0.13227
9/13/2023,0.08,0.12142
9/7/2023,0.08,0.12669
9/6/2023,0.08,0.12669
8/30/2023,0.08,0.12061
8/23/2023,0.09,0.13724
8/16/2023,0.09,0.14822
8/9/2023,0.08,0.12557
8/2/2023,0.08,0.11916
7/26/2023,0.07,0.10026
7/19/2023,0.07,0.10169
7/12/2023,0.07,0.10369
7/5/2023,0.08,0.11148
6/28/2023,0.08,0.11296
6/21/2023,0.09,0.12805
6/14/2023,0.08,0.11996
6/7/2023,0.09,0.13126
5/31/2023,0.10,0.14584
5/24/2023,0.11,0.15189
5/17/2023,0.11,0.14225
5/10/2023,0.10,0.14151
5/3/2023,0.11,0.15553
4/26/2023,0.11,0.16126
4/19/2023,0.10,0.1428
4/12/2023,0.11,0.16044
4/5/2023,0.12,0.15521
3/29/2023,0.12,0.16732
3/22/2023,0.13,0.18833
3/15/2023,0.14,0.17429
3/8/2023,0.11,0.1697
2/22/2023,0.12,0.18691
2/15/2023,0.11,0.15641
2/8/2023,0.11,0.15479
2/1/2023,0.11,0.14238
1/25/2023,0.11,0.15281
1/18/2023,0.13,0.18319
1/11/2023,0.13,0.18848
1/4/2023,0.15,0.20563
12/28/2022,0.16,0.22666
12/21/2022,0.15,0.21883
12/14/2022,0.15,0.21522
12/7/2022,0.15,0.21697
11/30/2022,0.15,0.20411
11/23/2022,0.15,0.21181
11/16/2022,0.16,0.22525
11/9/2022,0.17,0.2398
11/2/2022,0.17,0.24988
10/26/2022,0.17,0.24426
10/19/2022,0.17,0.25023
10/12/2022,0.17,0.25345
10/5/2022,0.16,0.23058
9/28/2022,0.17,0.23464
9/21/2022,0.17,0.24129
9/14/2022,0.16,0.22161
9/7/2022,0.16,0.20094
8/31/2022,0.16,0.22004
8/24/2022,0.16,0.19001
8/17/2022,0.16,0.20528
8/10/2022,0.15,0.18088
8/3/2022,0.15,0.19015
7/27/2022,0.15,0.18882
7/20/2022,0.16,0.19425
7/13/2022,0.16,0.21004
7/6/2022,0.16,0.1921
6/29/2022,0.16,0.1998
6/22/2022,0.17,0.20089
6/15/2022,0.16,0.20236
6/8/2022,0.16,0.17794
6/1/2022,0.16,0.18226
5/25/2022,0.17,0.18737
5/18/2022,0.17,0.19726
5/11/2022,0.18,0.20456
5/4/2022,0.14,0.14858
4/27/2022,0.16,0.18648
4/20/2022,0.14,0.14513
4/13/2022,0.15,0.15253
4/6/2022,0.15,0.14546
3/30/2022,0.14,0.12956
3/23/2022,0.14,0.13626
3/16/2022,0.16,0.14677
3/9/2022,0.17,0.16846
3/2/2022,0.16,0.14241
2/23/2022,0.17,0.1675
2/16/2022,0.15,0.14644
2/9/2022,0.15,0.10984
2/2/2022,0.14,0.11073
1/26/2022,0.16,0.15367
1/19/2022,0.15,0.13302
1/12/2022,0.14,0.10473
1/5/2022,0.14,0.1182
12/29/2021,0.14,0.1009
12/22/2021,0.15,0.10919
12/15/2021,0.15,0.10848
12/8/2021,0.15,0.10725
12/1/2021,0.17,0.14821
11/24/2021,0.15,0.10239
11/17/2021,0.15,0.09446
11/10/2021,0.15,0.09485
11/3/2021,0.13,0.08356
10/27/2021,0.13,0.08731
10/20/2021,0.13,0.08434
10/13/2021,0.15,0.09928
10/6/2021,0.15,0.10125
9/29/2021,0.15,0.1085
9/22/2021,0.15,0.10558
9/15/2021,0.14,0.09296
9/8/2021,0.14,0.08793
9/1/2021,0.13,0.07893
8/25/2021,0.14,0.083
8/18/2021,0.15,0.08358
8/11/2021,0.14,0.06925
8/4/2021,0.13,0.0821
7/28/2021,0.13,0.08507
7/21/2021,0.13,0.08517
7/14/2021,0.13,0.08261
7/7/2021,0.13,0.07586
6/30/2021,0.13,0.07205
6/23/2021,0.13,0.07539
6/16/2021,0.14,0.07791
6/9/2021,0.14,0.08174
6/2/2021,0.14,0.07972
5/26/2021,0.14,0.08569
5/19/2021,0.16,0.09879
5/12/2021,0.16,0.10217
5/5/2021,0.14,0.09283
4/28/2021,0.13,0.08441
4/21/2021,0.14,0.08606
4/14/2021,0.14,0.0885
4/7/2021,0.14,0.0826
3/31/2021,0.14,0.09206
3/24/2021,0.16,0.11251
3/17/2021,0.16,0.10954
3/10/2021,0.16,0.12029
3/3/2021,0.17,0.13419
2/24/2021,0.17,0.12556
2/17/2021,0.18,0.13024
2/10/2021,0.17,0.12067
2/3/2021,0.17,0.14213
1/27/2021,0.19,0.16506
1/20/2021,0.16,0.11559
1/13/2021,0.16,0.11745
1/6/2021,0.17,0.12252
12/30/2020,0.16,0.11732
12/23/2020,0.16,0.11728
12/16/2020,0.17,0.112
12/9/2020,0.16,0.10933
12/2/2020,0.17,0.10749
11/25/2020,0.17,0.10546
11/18/2020,0.17,0.10869
11/11/2020,0.17,0.10669
11/4/2020,0.17,0.14134
10/28/2020,0.20,0.18173
10/21/2020,0.18,0.14681
10/14/2020,0.18,0.13959
10/7/2020,0.19,0.16394
9/30/2020,0.19,0.14801
9/23/2020,0.19,0.14571
9/17/2020,0.19,0.14292
9/9/2020,0.18,0.14561
9/2/2020,0.18,0.13487
8/26/2020,0.17,0.11332
8/19/2020,0.17,0.12123
8/12/2020,0.17,0.12361
8/5/2020,0.17,0.13254
7/29/2020,0.17,0.13708
7/22/2020,0.17,0.12895
7/15/2020,0.19,0.14709
7/8/2020,0.18,0.14136
7/1/2020,0.19,0.14396
6/24/2020,0.20,0.17881
6/17/2020,0.19,0.16661
6/10/2020,0.18,0.12958
6/3/2020,0.18,0.1338
5/27/2020,0.19,0.14434
5/20/2020,0.23,0.19997
5/6/2020,0.22,0.23686
4/29/2020,0.21,0.19888
4/22/2020,0.24,0.2491
4/15/2020,0.23,0.2162
4/8/2020,0.22,0.21209
4/1/2020,0.25,0.26292
3/25/2020,0.22,0.20173
3/18/2020,0.24,0.33483
3/11/2020,0.23,0.19566
3/5/2020,0.16,0.07667
2/26/2020,0.14,0.0869
2/19/2020,0.11,0.04162
2/12/2020,0.11,0.03991
2/5/2020,0.10,0.04131
1/29/2020,0.11,0.05088
1/22/2020,0.10,0.03776
1/15/2020,0.10,0.03888
1/8/2020,0.11,0.04467
1/2/2020,0.11,0.04794
12/26/2019,0.11,0.05028
12/18/2019,0.11,0.05231
12/11/2019,0.13,0.06244
12/4/2019,0.13,0.06486
11/27/2019,0.12,0.05582
11/20/2019,0.13,0.06073
11/13/2019,0.13,0.06379
11/6/2019,0.12,0.0594
10/30/2019,0.11,0.05868
10/23/2019,0.12,0.05897
10/16/2019,0.12,0.05826
10/9/2019,0.14,0.07891
10/2/2019,0.14,0.08744
9/25/2019,0.13,0.0682
9/18/2019,0.13,0.06496
9/11/2019,0.12,0.05433
9/4/2019,0.14,0.07079
8/28/2019,0.14,0.0781
8/21/2019,0.13,0.05889
8/14/2019,0.14,0.07888
8/7/2019,0.13,0.06014
7/31/2019,0.11,0.04669
7/24/2019,0.11,0.03771
7/17/2019,0.10,0.04342
7/10/2019,0.09,0.04128
7/3/2019,0.09,0.04009
6/26/2019,0.11,0.05718
6/19/2019,0.11,0.05123
6/12/2019,0.11,0.05633
